"","Latitude","Longitude","Depth","MagType","Magnitude","class","Region_Arica_Parinacota","Region_Tarapaca","Region_Antofagasta","Region_Atacama","Region_Coquimbo","Region_Valparaiso","Region_Metropolitana_Santiago","Region_Libertador_General_OHiggins","Region_Maule","Region_Nuble","Region_Biobio","Region_Araucania","Region_Rios","Region_Lagos","Region_Aysen_General_Carlos_Ibanez","Region_Magallanes_Antartica"
"5902",-35.6713,-73.7011,35,"mb",4.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5903",-20.4098,-69.4654,84.4,"mb",4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5904",-17.563,-70.818,29,"ML",4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5905",-21.9278,-68.5257,131.9,"mb",4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5906",-35.8335,-73.4945,35,"mb",4.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5907",-28.353,-70.8502,51.9,"mb",4.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5908",-21.7531,-68.4208,107,"mb",4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5909",-28.3187,-71.4801,29,"MW",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5910",-33.4513,-72.2236,21.9,"mb",4.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"5911",-31.6022,-69.5473,116.2,"mb",4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5912",-37.3903,-74.0776,16.5,"mb",4.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5913",-23.8333,-68.8956,93.8,"mb",4.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5914",-23.8199,-69.2819,85.2,"MW",4.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5915",-31.3227,-67.7164,111.5,"mb",4.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5916",-34.7701,-71.7681,47.2,"mb",4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5917",-32.4867,-71.4186,46,"mb",4.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5918",-18.7092,-69.2145,119.2,"mb",4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5919",-37.2481,-73.6697,30.9,"MW",5.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5920",-28.6032,-71.1207,42.6,"mb",4.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5921",-21.6569,-68.5077,110.1,"mb",4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5922",-24.1896,-67.2286,175.3,"mb",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5923",-34.2571,-70.4041,108.5,"mb",4.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5924",-23.7864,-67.7614,132,"mb",4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5925",-27.2483,-71.2489,29.2,"MW",5.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5926",-16.3619,-70.4418,163.2,"mb",4.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5927",-19.432,-69.827,12,"ML",4.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5928",-32.6749,-69.9404,125.8,"mb",4.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5929",-35.7496,-71.4563,100.1,"mb",4.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5930",-23.1438,-68.9807,110.4,"mb",4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5931",-22.6131,-67.4738,157.4,"mb",4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5932",-28.4747,-69.7051,103.6,"mb",4.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5933",-28.6861,-71.5531,10.3,"mb",4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5934",-23.746,-67.229,231.6,"ML",4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5935",-33.8171,-70.0554,104.6,"mb",4.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"5936",-36.7693,-73.452,14,"mb",4.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5937",-16.1452,-73.5018,50,"MW",5.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
