"","Depth","Magnitude","class","Region_Arica_Parinacota","Region_Tarapaca","Region_Antofagasta","Region_Atacama","Region_Coquimbo","Region_Valparaiso","Region_Metropolitana_Santiago","Region_Libertador_General_OHiggins","Region_Maule","Region_Nuble","Region_Biobio","Region_Araucania","Region_Rios","Region_Lagos","Region_Aysen_General_Carlos_Ibanez","Region_Magallanes_Antartica"
"222",303.6,4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",101.4,4.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",10,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"225",35,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"226",46,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"227",10,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"228",65.7,4.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"229",10,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"230",7.6,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"231",35,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"232",8.9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"233",0,4.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"234",20,4.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"235",108.2,4.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236",46.6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"237",52.2,4.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"238",107.5,4.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"239",135.6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
